,date,description,emphasizedKeywords,position,searchQuery/countryCode,searchQuery/device,searchQuery/domain,searchQuery/languageCode,searchQuery/locationUule,searchQuery/page,searchQuery/resultsPerPage,searchQuery/term,searchQuery/type,title,type,url
0,,La corrupción política se refiere a los actos deshonestos o delictivos cometidos por funcionarios y autoridades públicas que abusan de su poder e influyen a ...,corrupción,1,US,DESKTOP,google.com,,,1,10,corrupción,SEARCH,"Corrupción política - Wikipedia, la enciclopedia libre",organic,https://es.wikipedia.org/wiki/Corrupci%C3%B3n_pol%C3%ADtica
1,,"La corrupción abona el terreno para que se lleven a cabo actividades en relación con la delincuencia organizada e incluso con el terrorismo, ya que los ...",corrupción,2,US,DESKTOP,google.com,,,1,10,corrupción,SEARCH,Corrupción - Interpol,organic,https://www.interpol.int/es/Delitos/Corrupcion
2,,"La corrupción es un fenómeno de ámbito mundial que causa pobreza, obstaculiza el desarrollo y hacer huir a la inversión. También debilita los sistemas ...",corrupción,3,US,DESKTOP,google.com,,,1,10,corrupción,SEARCH,La lucha contra el problema mundial de la corrupción,organic,https://www.unodc.org/newsletter/es/200601/page004.html
3,2020-05-04T12:00:00.000Z,"La corrupción refiere a algo que se ha echado a perder, que pasa a un estado de pudrición o perversión. Por lo tanto, alterándose las ...",corrupción,4,US,DESKTOP,google.com,,,1,10,corrupción,SEARCH,"Corrupción: qué es, definición, características, tipos y ...",organic,https://responsabilidadsocial.net/corrupcion-que-es-definicion-caracteristicas-tipos-y-combate/
4,,"Corrupción es la acción y efecto de corromper (depravar, echar a perder, sobornar a alguien, pervertir, dañar). El concepto, de acuerdo al diccionario de la ...",Corrupción,5,US,DESKTOP,google.com,,,1,10,corrupción,SEARCH,"Definición de corrupción - Qué es, Significado y Concepto",organic,https://definicion.de/corrupcion/
5,,"Todas las noticias sobre Corrupción publicadas en EL PAÍS. Información, novedades y última hora sobre Corrupción.",Corrupción | Corrupción,6,US,DESKTOP,google.com,,,1,10,corrupción,SEARCH,Corrupción en EL PAÍS,organic,https://elpais.com/noticias/corrupcion/
6,,,corruptos,7,US,DESKTOP,google.com,,,1,10,corrupción,SEARCH,Corrupción - BBC News Mundo,organic,https://www.bbc.com/mundo/topics/c404v5z55rrt
7,,"El combate a la corrupción es un aspecto clave en el ejercicio democrático del poder, requerido bajo la Carta Democrática Interamericana, y por ende, es un ...",corrupción,8,US,DESKTOP,google.com,,,2,10,corrupción,SEARCH,Acciones contra la Corrupción - OAS,organic,https://www.oas.org/es/temas/corrupcion.asp
8,,Los delitos de soborno transnacional y de enriquecimiento ilícito serán considerados para ese Estado Parte acto de corrupción para los propósitos de esta ...,corrupción,9,US,DESKTOP,google.com,,,2,10,corrupción,SEARCH,CONVENCIÓN INTERAMERICANA CONTRA LA ...,organic,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_interamericanos_b-58_contra_corrupcion.pdf
9,,"​​​¿Cómo estamos? Derrotaremos la corrupción si todos nos comprometemos con la transparencia, la integridad y la legalidad. Corrupcion u.PNG Corrupcion ...",corrupción | Corrupcion | Corrupcion,10,US,DESKTOP,google.com,,,2,10,corrupción,SEARCH,Alianza contra la corrupción: tolerancia cero con los corruptos​,organic,https://www.dnp.gov.co/DNPN/Plan-Nacional-de-Desarrollo/Paginas/Pilares-del-PND/Legalidad/Alianza-contra-la-corrupcion.aspx
10,,Ayudamos a contribuir de manera decisiva desde la ciudadanía a combatir la corrupción y la impunidad en México que prevalecen en los sistemas público y ...,corrupción,11,US,DESKTOP,google.com,,,2,10,corrupción,SEARCH,Mexicanos Contra la Corrupción y la Impunidad,organic,https://contralacorrupcion.mx/
11,,"El combate a la corrupción es una demanda ciudadana que tiene como objetivo, consolidar la confianza de la sociedad en la honestidad de s...",corrupción,12,US,DESKTOP,google.com,,,2,10,corrupción,SEARCH,"El combate a la corrupción, un compromiso de todos.",organic,https://www.gob.mx/aserca/articulos/el-combate-a-la-corrupcion-un-compromiso-de-todos?idiom=es
12,,"... tanto dentro de Guatemala como en la comunidad internacional, quienes la han señalado de proteger a políticos corruptos y otras irregularidades.",corruptos,13,US,DESKTOP,google.com,,,2,10,corrupción,SEARCH,Corrupción - BBC News Mundo,organic,https://www.bbc.com/mundo/topics/c404v5z55rrt
13,2019-08-27T12:00:00.000Z,"La gran corrupción o “corrupción a gran escala”, consiste en actos cometidos en los niveles más altos del gobierno que involucran la distorsión ...",corrupción | corrupción,14,US,DESKTOP,google.com,,,2,10,corrupción,SEARCH,¿Qué es corrupción? - Transparencia por Colombia,organic,https://transparenciacolombia.org.co/2019/08/27/corrupcion/
14,,"Todas las noticias sobre Corrupción publicadas en EL PAÍS. Información, novedades y última hora sobre Corrupción.",Corrupción | Corrupción,15,US,DESKTOP,google.com,,,2,10,corrupción,SEARCH,Corrupción en EL PAÍS,organic,https://elpais.com/noticias/corrupcion/
15,,"PaísesRanking de la CorrupciónÍndice de CorrupciónVarEspaña34º61‑1,61%Alemania10º800Reino Unido11º781,30%View 176 more rows",,16,US,DESKTOP,google.com,,,3,10,corrupción,SEARCH,Índice de Percepción de la Corrupción 2021 | datosmacro.com,organic,https://datosmacro.expansion.com/estado/indice-percepcion-corrupcion
