,date,description,emphasizedKeywords,position,searchQuery/countryCode,searchQuery/device,searchQuery/domain,searchQuery/languageCode,searchQuery/locationUule,searchQuery/page,searchQuery/resultsPerPage,searchQuery/term,searchQuery/type,title,type,url
0,,2004 (MMIV) fue un año bisiesto comenzado en jueves según el calendario gregoriano de los años 2000. Fue designado el Año Internacional del Arroz por el ...,2004,1,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,"2004 - Wikipedia, la enciclopedia libre",organic,https://es.wikipedia.org/wiki/2004
1,,"2004 (MMIV) was a leap year starting on Thursday of the Gregorian calendar, the 2004th year of the Common Era (CE) and Anno Domini (AD) designations, ...",2004 | 2004th,2,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,2004 - Wikipedia,organic,https://en.wikipedia.org/wiki/2004
2,,"2004 Prices including Wages, Houses, Food and Gas, Events include Strongest earthquake in 40 years At least 290000 people are confirmed to have died, ...",2004,3,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,"What Happened in 2004 Major News Events, Popular Culture ...",organic,https://www.thepeoplehistory.com/2004.html
3,,IDEA State Contacts · Building the Legacy: IDEA 2004 · Home · About IDEA · Topic Areas · Contacts · Disclaimer · Accessibility.,2004,4,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,Individuals with Disabilities Education Act (IDEA),organic,https://sites.ed.gov/idea/
4,,"2004 Republican Party Platform: A Safer World and a More Hopeful America. RONALD REAGAN believed that people were basically good, and had the right to be ...",2004,5,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,2004 Republican Party Platform - The American Presidency ...,organic,https://www.presidency.ucsb.edu/documents/2004-republican-party-platform
5,,"Given the executive will to make it happen, any company can become ambidextrous. A version of this article appeared in the April 2004 issue of Harvard Business ...",2004,6,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,The Ambidextrous Organization - Harvard Business Review,organic,https://hbr.org/2004/04/the-ambidextrous-organization
6,,"The 76th Academy Awards | 2004. Kodak Theatre at Hollywood & Highland Center. Sunday, February 29, 2004. Honoring movies released in 2003.",2004 | 2004,7,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,2004 | Academy of Motion Picture Arts and Sciences,organic,https://www.oscars.org/oscars/ceremonies/2004
7,,por L Hawryluck · 2004 · Mencionado por 2131 — 2004 Jul; 10(7): 1206–1212. doi: 10.3201/eid1007.030703. PMCID: PMC3323345. PMID: 15324539 ...,2004,8,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,SARS Control and Psychological Effects of Quarantine ... - NCBI,organic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3323345/
8,,por JF Acquavella · 2004 · Mencionado por 343 — Environ Health Perspect. 2004 Mar; 112(3): 321–326. doi: 10.1289/ehp.6667.,2004,9,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,Glyphosate biomonitoring for farmers and their families - NCBI,organic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241861/
9,,2004 World Series - Boston Red Sox over St. Louis Cardinals (4-0) series statistics and schedule.,2004,10,US,DESKTOP,google.com,es,,1,100,2004,SEARCH,2004 World Series - Boston Red Sox over St. Louis Cardinals ...,organic,https://www.baseball-reference.com/postseason/2004_WS.shtml
